ClasseNUMERO,ClasseNOME,Imm
L-18,Scienze dell'economia e della gestione aziendale,35033
L-09,Ingegneria industriale,22876
L-08,Ingegneria dell'informazione,17799
LMG/01,Magistrali in giurisprudenza,16989
L-22,Scienze delle attivit motorie e sportive,13092
L/SNT1,"Professioni sanitarie, infermieristiche e professione sanitaria ostetrica",12685
L-19,Scienze dell'educazione e della formazione,12630
L-24,Scienze e tecniche psicologiche,12206
L-20,Scienze della comunicazione,11994
L-33,Scienze economiche,11574
LM-41,Medicina e chirurgia,10175
L-36,Scienze politiche e delle relazioni internazionali,10090
L-11,Lingue e culture moderne,9970
L-13,Scienze biologiche,9539
L-31,Scienze e tecnologie informatiche,9456
L-10,Lettere,8774
L-02,Biotecnologie,6971
L-14,Scienze dei servizi giuridici,6892
LM-13,Farmacia e farmacia industriale,6739
L-12,Mediazione linguistica,6000
L-01,Beni culturali,4502
L-07,Ingegneria civile e ambientale,4296
L-05,Filosofia,4214
L-03,"Discipline delle arti figurative, della musica, dello spettacolo e della moda",4211
LM-85 bis,Scienze della formazione primaria,4155
L-30,Scienze e tecnologie fisiche,3759
L-39,Servizio sociale,3451
L-40,Sociologia,3424
L-27,Scienze e tecnologie chimiche,3315
L-04,Disegno industriale,3193
L-32,Scienze e tecnologie per l'ambiente e la natura,3116
L-35,Scienze matematiche,3098
L-17,Scienze dell'architettura,2796
LM-04cu,Architettura e ingegneria edile-architettura (quinquennale),2783
L/SNT2,Professioni sanitarie della riabilitazione,2708
L/SNT3,Professioni sanitarie tecniche,2560
L-42,Storia,2547
L-25,Scienze e tecnologie agrarie e forestali,2483
L-15,Scienze del turismo,1980
L-26,Scienze e tecnologie alimentari,1901
L-16,Scienze dell'amministrazione e dell'organizzazione,1397
L-29,Scienze e tecnologie farmaceutiche,1372
L-38,Scienze zootecniche e tecnologie delle produzioni animali,1366
L-41,Statistica,1342
L-23,Scienze e tecniche dell'edilizia,1013
L-34,Scienze geologiche,786
L/SNT4,Professioni sanitarie della prevenzione,720
LM-46,Odontoiatria e protesi dentaria,614
L-21,"Scienze della pianificazione territoriale, urbanistica, paesaggistica e ambientale",536
L-37,"Scienze sociali per la cooperazione, lo sviluppo e la pace",487
LM-42,Medicina veterinaria,473
L/GASTR,"Scienze, culture e politiche della gastronomia",410
L/DS,Scienze della difesa e della sicurezza,271
L-28,Scienze e tecnologie della navigazione,261
L-P01,Professioni tecniche per l'edilizia e il territorio,261
L-P03,Professioni tecniche industriali e dellinformazione,213
L-Sc.Mat.,Scienze dei Materiali,200
L-06,Geografia,109
L-43,Diagnostica per la conservazione dei beni culturali,101
L-P02,"Professioni tecniche agrarie, alimentari e forestali",80
LMR/02,Conservazione e restauro dei beni culturali,72
LM-13ante22,Farmacia e farmacia industriale,8
