testo_ean,testo_titolo,testo_editore,count
9788829929337,Chimica generale. Principi ed applicazioni moderne,Piccin Editore,2168
9788808320971,Principi di chimica. Con e-book,Zanichelli,2077
9788838695391,Chimica. La natura molecolare della materia e delle sue trasformazioni. Con Connect,McGraw-Hill Education,1965
9783662517581,Scientific Computing with MATLAB and Octave,Springer,1962
9788867890095,Lezioni di analisi matematica 1,Celid,1910
9788879924283,Analisi matematica 1. Appunti delle lezioni,CLUT,1910
9780980232776,Introduction to Linear Algebra,Wellesley-Cambridge Press,1902
9788879922654,Metodi e algoritmi per il calcolo numerico,CLUT,1891
9788879922128,Laboratorio di calcolo numerico. Esercizi di calcolo numerico risolti con Matlab,CLUT,1869
9788847009226,Analisi matematica 1. Teoria ed esercizi con complementi in rete,Springer,1779
9788840813479,Fondamenti di chimica. Con esercizi,Cea,1773
9788838786075,Algebra lineare,Apogeo Maggioli,1769
9788879599597,Fondamenti di chimica. Con contenuto digitale fornito elettronicamente,Edises,1766
9788879595049,Elementi di stechiometria,Edises,1751
9788882180348,Lezioni di geometria vol.2. Geometria analitica,Levrotto e Bella,1748
9788882180409,Lezioni di geometria vol.1. Algebra lineare,Levrotto e Bella,1748
9788874885893,Allenamenti di geometria. Esercizi e giochi di algebra lineare e geometria,Esculapio,1743
9788867891269,Lezioni di geometria,Celid,1743
9788867891245,Lezioni di algebra lineare. Con esercizi svolti,Celid,1743
9788879923682,Chissà chi lo sa. I quiz dell'esame di geometria,CLUT,1743
9788879923439,Lezioni di algebra lineare e geometria. I veri appunti del corso,CLUT,1743
9788813211509,Fondamenti di chimica per ingegneria,Wolters Kluwer – Cedam,1672
9788808480057,Principi fondamentali dell'assistenza infermieristica. (Volume unico),Cea,1671
9788876619311,50 quiz di geometria,Celid,1667
9788808187840,Brunner-Suddarth. Infermieristica medico-chirurgica vol.1,Cea,1567
9788879591379,Fisica vol.1. Meccanica e termodinamica,EdiSes,1514
9788833190259,Anatomia umana,Edises,1371
9788891635433,Concetti di informatica e fondamenti di Python,Apogeo Maggioli,1335
9788808580030,Diagnosi infermieristiche. Applicazione alla pratica clinica,Zanichelli,1124
9788808187901,Brunner-Suddarth. Infermieristica medico-chirurgica vol.2,Cea,1121
9788879924429,LAG the Written Exam vol.1. Samples and Solutions v1,CLUT,1100
9788879924610,LAG the written exam vol.2. Samples and solutions v2,CLUT,1100
9781259644030,Harrison's Principles of Internal Medicine. (2 volumi),McGraw-Hill Education,1070
9788806219222,"Armi, acciaio e malattie. Breve storia del mondo negli ultimi tredicimila anni. Introduzione di Luca Cavalli-Sforza e Francesco Cavalli-Sforza",Einaudi,1057
9788829929672,Patologia generale e fisiopatologia generale vol.2,Piccin Editore,1036
9788891909732,Fisiologia umana. Un approccio integrato. Edizioni MyLab. Con contenuto digitale per download e accesso on line,Pearson,1026
9788806239732,Il pianeta umano. Come abbiamo creato l’Antropocene,Einaudi,989
9788808920690,I principi di biochimica di Lehninger. Con e-book,Zanichelli,973
9788891901651,Il linguaggio C. Fondamenti e tecniche di programmazione. Ediz. mylab. Con espansione online,Pearson,932
9788808637086,Analisi matematica 2,Zanichelli,916
9788808182159,Fisica generale. Meccanica e termodinamica. Con contenuto digitale,Cea,896
9788808151339,Analisi matematica 1,Zanichelli,875
9788865151358,Ginecologia e ostetricia. (4 volumi),SEU,849
9788808723284,Introduzione alla biochimica di Lehninger. Con e-book,Zanichelli,824
9788829927913,Biochimica medica. Strutturale metabolica e funzionale,Piccin Editore,822
9788808820372,Harrison. Principi di medicina interna. (2 volumi). Con e-book,Cea,811
9788821449697,Netter. Atlante di anatomia umana,Edra,796
9788879599726,Fisiologia,Edises,776
9788829929122,Elementi di patologia generale e fisiopatologia generale. Per corsi di laurea in professioni sanitarie,Piccin Editore,775
9788829929634,Patologia generale e fisiopatologia generale vol.1,Piccin Editore,741
